,DATE,ETOTALUSQ176N
0,2002-01-01,119483.0
1,2002-02-01,119483.0
2,2002-03-01,119483.0
3,2002-04-01,119483.0
4,2002-05-01,119625.0
5,2002-06-01,119767.0
6,2002-07-01,119909.0
7,2002-08-01,120056.0
8,2002-09-01,120203.0
9,2002-10-01,120350.0
10,2002-11-01,120497.33333333333
11,2002-12-01,120644.66666666667
12,2003-01-01,120792.0
13,2003-02-01,120939.0
14,2003-03-01,121086.0
15,2003-04-01,121233.0
16,2003-05-01,121382.66666666667
17,2003-06-01,121532.33333333333
18,2003-07-01,121682.0
19,2003-08-01,121841.0
20,2003-09-01,122000.0
21,2003-10-01,122159.0
22,2003-11-01,122316.66666666667
23,2003-12-01,122474.33333333333
24,2004-01-01,122632.0
25,2004-02-01,122787.66666666667
26,2004-03-01,122943.33333333333
27,2004-04-01,123099.0
28,2004-05-01,123261.66666666667
29,2004-06-01,123424.33333333333
30,2004-07-01,123587.0
31,2004-08-01,123756.66666666667
32,2004-09-01,123926.33333333333
33,2004-10-01,124096.0
34,2004-11-01,124267.66666666667
35,2004-12-01,124439.33333333333
36,2005-01-01,124611.0
37,2005-02-01,124780.0
38,2005-03-01,124949.0
39,2005-04-01,125118.0
40,2005-05-01,125285.0
41,2005-06-01,125452.0
42,2005-07-01,125619.0
43,2005-08-01,125780.66666666667
44,2005-09-01,125942.33333333333
45,2005-10-01,126104.0
46,2005-11-01,126264.0
47,2005-12-01,126424.0
48,2006-01-01,126584.0
49,2006-02-01,126746.66666666667
50,2006-03-01,126909.33333333333
51,2006-04-01,127072.0
52,2006-05-01,127230.66666666667
53,2006-06-01,127389.33333333333
54,2006-07-01,127548.0
55,2006-08-01,127695.66666666667
56,2006-09-01,127843.33333333333
57,2006-10-01,127991.0
58,2006-11-01,128140.33333333333
59,2006-12-01,128289.66666666667
60,2007-01-01,128439.0
61,2007-02-01,128588.66666666667
62,2007-03-01,128738.33333333333
63,2007-04-01,128888.0
64,2007-05-01,129025.33333333333
65,2007-06-01,129162.66666666667
66,2007-07-01,129300.0
67,2007-08-01,129411.33333333333
68,2007-09-01,129522.66666666667
69,2007-10-01,129634.0
70,2007-11-01,129745.33333333333
71,2007-12-01,129856.66666666667
72,2008-01-01,129968.0
73,2008-02-01,130079.66666666667
74,2008-03-01,130191.33333333333
75,2008-04-01,130303.0
76,2008-05-01,130398.66666666667
77,2008-06-01,130494.33333333333
78,2008-07-01,130590.0
79,2008-08-01,130659.0
80,2008-09-01,130728.0
81,2008-10-01,130797.0
82,2008-11-01,130865.0
83,2008-12-01,130933.0
84,2009-01-01,131001.0
85,2009-02-01,131069.66666666667
86,2009-03-01,131138.33333333334
87,2009-04-01,131207.0
88,2009-05-01,131263.0
89,2009-06-01,131319.0
90,2009-07-01,131375.0
91,2009-08-01,131413.33333333334
92,2009-09-01,131451.66666666666
93,2009-10-01,131490.0
94,2009-11-01,131535.33333333334
95,2009-12-01,131580.66666666666
96,2010-01-01,131626.0
97,2010-02-01,131667.0
